r,Name ,Client,Description,Comments,Tags,Link,Additional Prompt ,old images,Case study link,Demo is ready with data and instructions?,Created by,Industry
22,Data Lineage,,"This app processes CSV/SQLite data, generates SQL queries with LLM, features dynamic filtering, visualizations, and user-friendly data management.",,"LLM, GenAI",https://mounesh301.github.io/Data-Lineage/,,https://raw.githubusercontent.com/badal0091/solution-page/main/Screenshot 2025-01-16 130340.png,,"Yes, check if a sample csv can be provided",Mounesh,Banking & Financial Applications
23,Resume Comparison ,,"Utilize a large language model (LLM) to compare accepted and rejected resumes, generating a similarity score for each rejected resume based on the accepted resume.",,"LLM, GenAI",https://llmfoundry.straive.com/apps#?template=updated_resume_comparision,,,,Yes,Harshith,
24,Passed-Rejected report comparison,,Utilize a large language model (LLM) to determine the proximity score of a rejected report based on its comparison with the passed report,,"LLM, GenAI",https://llmfoundry.straive.com/apps/Compare%20Skills.html,,,,Yes,"Harshith, Shivam",
25,Extraction of property details from CMBS,,"Utilize a large language model (LLM) to retrieve comprehensive details of a specified property name from the CMBS document.""",,"LLM, GenAI",https://docxtract.straivedemo.com/,,,,no description and sample data file inside demo,Shivam,
26,Investment Research Copilot,Internal- Manish'Team,"Unlock deeper market insights with our suite of advanced analytical frameworks, designed to empower investment professionals with actionable intelligence. Explore the tools below to enhance your research process and drive superior investment decisions.",,"LLM, GenAI",https://research-synthesis.straivedemo.com/,,,,,"Badal, Jai",
27,Sales-Assist,Internal- Manish'Team,,,"LLM, GenAI",https://badal0091.github.io/sales-assist/,,,,,Badal,
28,DB-Converter,"Raghav, Dharmendra",A powerful web application designed to simplify the migration of database schemas and scripts from Microsoft SQL Server to PostgreSQL.,,"LLM, GenAI",https://badal0091.github.io/DB-Converter/,,,,,"Badal, Shivam",
29,Janus Henderson Investors,Internal- Manish'Team,,,"LLM, GenAI",https://badal0091.github.io/Janus-Henderson/,,,,,Badal,
30,Investment Document Navigator,,analyze fund prospectuses by automatically extracting key data points.,,"LLM, GenAI",https://llmfoundry.straive.com/apps/IDN.html,,,,,"Harshith, Badal",Finance(Investment)
31,Adverse Events,Internal-Manish's Team,"This application employs a multi-agent LLM workflow to 
identify and analyze anomalies in investment operations 
based on trade execution records, cash flow reconciliations
, and portfolio valuation reports.",,"LLM, GenAI",Adverse Events,,,,,Jai,
32,Email Assist v1,"Balamuraly, 
Shantanu, 
Visyanshu","This bookmarklet generates summary and 
generates automated replies to emails. 
These summaries and replied can easily be copied and 
pasted anywhere intended.",,"LLM, GenAI, ",https://email-bookmarklet.straivedemo.com/,,,,,Jai,
33,Email Assist v2,PG(Partner's group),"This bookmarklet automatically read email contents. 
classifies email, assign email as tasks to employees, 
observe workplace for assignments. This app can pick
contents from the cuurently opened email without any 
copy-paste operations",,"LLM, GenAI",https://email-bookmarklet.straivedemo.com/,,,,,Jai,
34,Invest Assist,Internal-Manish's Team,"Provides the answer to esgv funds,market funds and investment documents by finding the relevant context",,"LLM, GenAI",https://docai.straivedemo.com/,,,,,Shivam,
35,DeCodeLab,Bank of America,"With DeCodeLab you can:

Ingest & Analyze Code: Upload files with advanced include/exclude filtering and a dynamic file-size slider, then view a detailed summary and virtual directory structure.
Interactive Q&A: Ask specific questions about your code and receive clear, AI-generated explanations.
BRD, Test Cases & Pseudo Code Generation: Automatically generate comprehensive Business Requirements Documents, test cases, and pseudo code for your projects.
Database & Schema Analysis: Uncover legacy database structures and generate modern RDBMS schemas.
Diagram Generation: Create Mermaid diagrams—such as sequence, data flow, class, and state diagrams—to visually map out code flows and interactions.
User Guide Generation: Produce detailed user guides to help stakeholders understand system functionalities.",,"LLM, Mermiad JS",https://uat.gramener.com/decodelab/,,,,,Mounesh,IT
,Risksifter,Primis,"Uncover hidden risk in financial documents with precision. Our application streamlines the process of risk identification, reducing the need for labor-intensive research.",,"LLM, Gen AI",https://uat.gramener.com/risksifter/,,,,,Mounesh,Finance(Insurance)
,Dealsifter,Preqin,"Curious about a company’s subsidiaries and organizational layout? This app provides a clear, visual representation of corporate hierarchies.",,"LLM, Gen AI",https://uat.gramener.com/corporate-tree/,,,,,Mounesh,Finance
,Loan application trend analysis Tool,,"Internal dashborad for a bank to analyse their loan application insights, focusing on total application recieved and disbursed loans",,Figma,https://www.figma.com/proto/Mx244MBONP3KIKJW2Y95t8/Loan-Application-Trend-Analysis-Tool?page-id=168%3A5849&node-id=388-25990&node-type=canvas&viewport=408%2C382%2C0.03&t=4zegWBlAoi4Rz01b-1&scaling=scale-down&content-scaling=fixed&starting-point-node-id=388%3A25990,,,,,,
,Price Tracker,,A price comparison and price tracking application for B2B.,,Figma,https://www.figma.com/proto/6obnd4wedc7KA3XS6ScIAV/Price-Tracker?page-id=0%3A1&node-id=58-8756&node-type=canvas&viewport=-448%2C-64%2C0.19&t=rofO5EQ911cJqVk8-1&scaling=scale-down&content-scaling=fixed&starting-point-node-id=58%3A8756,,,,,,
,Sport League,,A dashborad to provide insights on sales and profit distribution among all the products for an event management company,,Figma,https://www.figma.com/proto/TpOdxUcB7ZExULJiGngfg6/Sport_league?page-id=337%3A46246&node-id=405-745&p=f&viewport=-121%2C473%2C0.06&t=THeSdzzcpsQpAZCU-1&scaling=scale-down&content-scaling=fixed&starting-point-node-id=405%3A745,,,,,,
